A0/1V|0.129312E+01
A0/2V|0.129312E+01
A0/A1Ia|0.375044E+01
A0/A1III|0.551157E+01
A0/A1IVp...|0.129312E+01
A0/A1IV|0.129312E+01
A0/A1IV/V|0.129312E+01
A0/A1|0.129312E+01
A0/A1Vn|0.129312E+01
A0/A1Vn...|0.129312E+01
A0/A1V|0.129312E+01
A0/A1V:|0.129312E+01
A0e|0.129312E+01
A0Ia0|0.375044E+01
A0Iab-Ib|0.375044E+01
A0Iab|0.375044E+01
A0Iae|0.375044E+01
A0Ia(p)|0.375044E+01
A0Ia:|0.375044E+01
A0Ia|0.375044E+01
A0:Ia|0.375044E+01
A0Ib|0.375044E+01
A0:Ib:|0.375044E+01
A0II/III(p)|0.551157E+01
A0II-III|0.551157E+01
A0II/III|0.551157E+01
A0III/IVm..|0.551157E+01
A0III/IVp..|0.551157E+01
A0III-IV|0.551157E+01
A0III/IV|0.551157E+01
A0IIIn|0.551157E+01
A0IIIp:|0.551157E+01
A0IIIp...|0.551157E+01
A0III:|0.551157E+01
A0III...|0.551157E+01
A0III|0.551157E+01
A0III:w|0.551157E+01
A0II...|0.551157E+01
A0II|0.551157E+01
A0I|0.375044E+01
A0IVn|0.129312E+01
A0:IVsp...|0.129312E+01
A0IVs|0.129312E+01
A0IV:|0.129312E+01
A0IV|0.129312E+01
A0IV/Vn|0.129312E+01
A0IV/V|0.129312E+01
A0IV/V+...|0.129312E+01
A0MNp...|0.129312E+01
A0m...|0.129312E+01
A0pe|0.129312E+01
A0pe...|0.129312E+01
A0pshe|0.129312E+01
A0p:|0.129312E+01
A0p...|0.129312E+01
A0p|0.129312E+01
A0pvar|0.129312E+01
A0sh|0.129312E+01
A0spe...|0.129312E+01
A0sp...|0.129312E+01
A0+...|0.129312E+01
A0|0.129312E+01
A0...|0.129312E+01
A0V-A3V|0.129312E+01
A0V+A/F|0.129312E+01
A0Vm...|0.129312E+01
A0Vne...|0.129312E+01
A0Vnn|0.129312E+01
A0V(n)|0.129312E+01
A0Vn|0.129312E+01
A0Vn...|0.129312E+01
A0Vp|0.129312E+01
A0Vp...|0.129312E+01
A0Vs|0.129312E+01
A0V:|0.129312E+01
A0V...|0.129312E+01
A0V+...|0.129312E+01
A0V|0.129312E+01
A0Vvar|0.129312E+01
A0V-VI|0.129312E+01
A0w|0.129312E+01
A1/2V|0.156519E+00
A1/A2III/IV|0.106384E+01
A1/A2III|0.106384E+01
A1/A2IV|0.156519E+00
A1/A2IV/V|0.156519E+00
A1/A2m...|0.156519E+00
A1/A2+...|0.156519E+00
A1/A2Vn|0.156519E+00
A1/A2Vs...|0.156519E+00
A1/A2V|0.156519E+00
A1/A2V:|0.156519E+00
A1/A2V+...|0.156519E+00
A1Ia0|0.986993E-01
A1Iab|0.986993E-01
A1Ia:p|0.986993E-01
A1Ia|0.986993E-01
A1Ib|0.986993E-01
A1Ib+...|0.986993E-01
A1II/III|0.106384E+01
A1III/IVm..|0.106384E+01
A1III/IV|0.106384E+01
A1IIIm...|0.106384E+01
A1IIIsh|0.106384E+01
A1III|0.106384E+01
A1IIp...|0.106384E+01
A1II:|0.106384E+01
A1II|0.106384E+01
A1I|0.986993E-01
A1IVm...|0.156519E+00
A1IVn|0.156519E+00
A1IVp...|0.156519E+00
A1IVs|0.156519E+00
A1IV|0.156519E+00
A1IV/V+A/F|0.156519E+00
A1IV/Vs|0.156519E+00
A1IV/V|0.156519E+00
A1IV-V|0.156519E+00
A1IV/V+...|0.156519E+00
A1(m)A1-A5|0.156519E+00
A1mA6-F0|0.156519E+00
A1mA7-F0|0.156519E+00
A1mA8-F0|0.156519E+00
A1m|0.156519E+00
A1m...|0.156519E+00
A1p|0.156519E+00
A1p...|0.156519E+00
A1sh|0.156519E+00
A1spe...|0.156519E+00
A1sp...|0.156519E+00
A1|0.156519E+00
A1V+A3V|0.156519E+00
A1V+G8/K1III|0.156519E+00
