     7293.7749  0.131254E+08
     7514.7988  0.120686E+08
     7749.6362  0.110784E+08
     7973.9023  0.102094E+08
     8211.5352  0.943060E+07
     8825.2090  0.953493E+07
     9538.0146  0.698344E+07
    10332.8477  0.580466E+07
    11272.1982  0.435378E+07
    12096.9932  0.346204E+07
    13052.0195  0.268695E+07
    13777.1318  0.223697E+07
    14587.5498  0.184182E+07
    16643.5137  0.123749E+07
    19374.0918  0.710512E+06
    20944.9629  0.539641E+06
    22793.0469  0.396230E+06
    25202.0684  0.274478E+06
    28180.4961  0.184307E+06
    30316.4238  0.137686E+06
    32802.6953  0.103056E+06
    37803.1016  0.613484E+05
    44602.2227  0.326663E+05
    50506.7930  0.202837E+05
    58213.2305  0.117070E+05
    65088.8047  0.760492E+04
    73806.0625  0.465713E+04
    81575.1172  0.315012E+04
    91172.1875  0.203727E+04
